Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Predicted_Value
ID002582XY,Female,No,0,Not Graduate,Yes,17263,0,225.0,360,1.0,Semiurban,1
ID002585XY,Male,Yes,0,Graduate,No,3597,2157,119.0,360,0.0,Rural,1
ID002586XY,Female,Yes,1,Graduate,No,3326,913,105.0,84,1.0,Semiurban,1
ID002587XY,Male,Yes,0,Not Graduate,No,2600,1700,107.0,360,1.0,Rural,1
ID002588XY,Male,Yes,0,Graduate,No,4625,2857,111.0,12,,Urban,0
ID002600XY,Male,Yes,1,Graduate,Yes,2895,0,95.0,360,1.0,Semiurban,0
ID002602XY,Male,No,0,Graduate,No,6283,4416,209.0,360,0.0,Rural,1
ID002603XY,Female,No,0,Graduate,No,645,3683,113.0,480,1.0,Rural,1
ID002606XY,Female,No,0,Graduate,No,3159,0,100.0,360,1.0,Semiurban,1
ID002615XY,Male,Yes,2,Graduate,No,4865,5624,208.0,360,1.0,Semiurban,1
ID002618XY,Male,Yes,1,Not Graduate,No,4050,5302,138.0,360,,Rural,1
ID002619XY,Male,Yes,0,Not Graduate,No,3814,1483,124.0,300,1.0,Semiurban,1
ID002622XY,Male,Yes,2,Graduate,No,3510,4416,243.0,360,1.0,Rural,1
ID002624XY,Male,Yes,0,Graduate,No,20833,6667,480.0,360,,Urban,0
ID002625XY,,No,0,Graduate,No,3583,0,96.0,360,1.0,Urban,0
ID002626XY,Male,Yes,0,Graduate,Yes,2479,3013,188.0,360,1.0,Urban,0
ID002634XY,Female,No,1,Graduate,No,13262,0,40.0,360,1.0,Urban,0
ID002637XY,Male,No,0,Not Graduate,No,3598,1287,100.0,360,1.0,Rural,1
ID002640XY,Male,Yes,1,Graduate,No,6065,2004,250.0,360,1.0,Semiurban,1
ID002643XY,Male,Yes,2,Graduate,No,3283,2035,148.0,360,1.0,Urban,0
ID002648XY,Male,Yes,0,Graduate,No,2130,6666,70.0,180,1.0,Semiurban,1
ID002652XY,Male,No,0,Graduate,No,5815,3666,311.0,360,1.0,Rural,1
ID002659XY,Male,Yes,3+,Graduate,No,3466,3428,150.0,360,1.0,Rural,1
ID002670XY,Female,Yes,2,Graduate,No,2031,1632,113.0,480,1.0,Semiurban,1
ID002682XY,Male,Yes,,Not Graduate,No,3074,1800,123.0,360,0.0,Semiurban,1
ID002683XY,Male,No,0,Graduate,No,4683,1915,185.0,360,1.0,Semiurban,1
ID002684XY,Female,No,0,Not Graduate,No,3400,0,95.0,360,1.0,Rural,1
ID002689XY,Male,Yes,2,Not Graduate,No,2192,1742,45.0,360,1.0,Semiurban,1
ID002690XY,Male,No,0,Graduate,No,2500,0,55.0,360,1.0,Semiurban,1
ID002692XY,Male,Yes,3+,Graduate,Yes,5677,1424,100.0,360,1.0,Rural,1
ID002693XY,Male,Yes,2,Graduate,Yes,7948,7166,480.0,360,1.0,Rural,1
ID002697XY,Male,No,0,Graduate,No,4680,2087,,360,1.0,Semiurban,1
ID002699XY,Male,Yes,2,Graduate,Yes,17500,0,400.0,360,1.0,Rural,1
ID002705XY,Male,Yes,0,Graduate,No,3775,0,110.0,360,1.0,Semiurban,0
ID002706XY,Male,Yes,1,Not Graduate,No,5285,1430,161.0,360,0.0,Semiurban,1
ID002714XY,Male,No,1,Not Graduate,No,2679,1302,94.0,360,1.0,Semiurban,1
ID002716XY,Male,No,0,Not Graduate,No,6783,0,130.0,360,1.0,Semiurban,1
ID002717XY,Male,Yes,0,Graduate,No,1025,5500,216.0,360,,Rural,1
ID002720XY,Male,Yes,3+,Graduate,No,4281,0,100.0,360,1.0,Urban,1
ID002723XY,Male,No,2,Graduate,No,3588,0,110.0,360,0.0,Rural,1
ID002729XY,Male,No,1,Graduate,No,11250,0,196.0,360,,Semiurban,1
ID002731XY,Female,No,0,Not Graduate,Yes,18165,0,125.0,360,1.0,Urban,0
ID002732XY,Male,No,0,Not Graduate,,2550,2042,126.0,360,1.0,Rural,1
ID002734XY,Male,Yes,0,Graduate,No,6133,3906,324.0,360,1.0,Urban,0
ID002738XY,Male,No,2,Graduate,No,3617,0,107.0,360,1.0,Semiurban,1
ID002739XY,Male,Yes,0,Not Graduate,No,2917,536,66.0,360,1.0,Rural,1
ID002740XY,Male,Yes,3+,Graduate,No,6417,0,157.0,180,1.0,Rural,1
ID002741XY,Female,Yes,1,Graduate,No,4608,2845,140.0,180,1.0,Semiurban,1
ID002743XY,Female,No,0,Graduate,No,2138,0,99.0,360,0.0,Semiurban,1
ID002753XY,Female,No,1,Graduate,,3652,0,95.0,360,1.0,Semiurban,1
ID002755XY,Male,Yes,1,Not Graduate,No,2239,2524,128.0,360,1.0,Urban,0
ID002757XY,Female,Yes,0,Not Graduate,No,3017,663,102.0,360,,Semiurban,1
ID002767XY,Male,Yes,0,Graduate,No,2768,1950,155.0,360,1.0,Rural,1
ID002768XY,Male,No,0,Not Graduate,No,3358,0,80.0,36,1.0,Semiurban,1
ID002772XY,Male,No,0,Graduate,No,2526,1783,145.0,360,1.0,Rural,1
ID002776XY,Female,No,0,Graduate,No,5000,0,103.0,360,0.0,Semiurban,1
ID002777XY,Male,Yes,0,Graduate,No,2785,2016,110.0,360,1.0,Rural,1
ID002778XY,Male,Yes,2,Graduate,Yes,6633,0,,360,0.0,Rural,1
ID002784XY,Male,Yes,1,Not Graduate,No,2492,2375,,360,1.0,Rural,1
ID002785XY,Male,Yes,1,Graduate,No,3333,3250,158.0,360,1.0,Urban,0
ID002788XY,Male,Yes,0,Not Graduate,No,2454,2333,181.0,360,0.0,Urban,0
ID002789XY,Male,Yes,0,Graduate,No,3593,4266,132.0,180,0.0,Rural,1
ID002792XY,Male,Yes,1,Graduate,No,5468,1032,26.0,360,1.0,Semiurban,1
ID002794XY,Female,No,0,Graduate,No,2667,1625,84.0,360,,Urban,0
ID002795XY,Male,Yes,3+,Graduate,Yes,10139,0,260.0,360,1.0,Semiurban,0
ID002798XY,Male,Yes,0,Graduate,No,3887,2669,162.0,360,1.0,Semiurban,1
ID002804XY,Female,Yes,0,Graduate,No,4180,2306,182.0,360,1.0,Semiurban,1
ID002807XY,Male,Yes,2,Not Graduate,No,3675,242,108.0,360,1.0,Semiurban,1
ID002813XY,Female,Yes,1,Graduate,Yes,19484,0,600.0,360,1.0,Semiurban,0
ID002820XY,Male,Yes,0,Graduate,No,5923,2054,211.0,360,1.0,Rural,1
ID002821XY,Male,No,0,Not Graduate,Yes,5800,0,132.0,360,1.0,Semiurban,1
ID002832XY,Male,Yes,2,Graduate,No,8799,0,258.0,360,0.0,Urban,1
ID002833XY,Male,Yes,0,Not Graduate,No,4467,0,120.0,360,,Rural,1
ID002836XY,Male,No,0,Graduate,No,3333,0,70.0,360,1.0,Urban,0
ID002837XY,Male,Yes,3+,Graduate,No,3400,2500,123.0,360,0.0,Rural,1
ID002840XY,Female,No,0,Graduate,No,2378,0,9.0,360,1.0,Urban,0
ID002841XY,Male,Yes,0,Graduate,No,3166,2064,104.0,360,0.0,Urban,0
ID002842XY,Male,Yes,1,Graduate,No,3417,1750,186.0,360,1.0,Urban,0
ID002847XY,Male,Yes,,Graduate,No,5116,1451,165.0,360,0.0,Urban,0
ID002855XY,Male,Yes,2,Graduate,No,16666,0,275.0,360,1.0,Urban,1
ID002862XY,Male,Yes,2,Not Graduate,No,6125,1625,187.0,480,1.0,Semiurban,1
ID002863XY,Male,Yes,3+,Graduate,No,6406,0,150.0,360,1.0,Semiurban,0
ID002868XY,Male,Yes,2,Graduate,No,3159,461,108.0,84,1.0,Urban,0
ID002872XY,,Yes,0,Graduate,No,3087,2210,136.0,360,0.0,Semiurban,1
ID002874XY,Male,No,0,Graduate,No,3229,2739,110.0,360,1.0,Urban,0
ID002877XY,Male,Yes,1,Graduate,No,1782,2232,107.0,360,1.0,Rural,1
ID002888XY,Male,No,0,Graduate,,3182,2917,161.0,360,1.0,Urban,0
ID002892XY,Male,Yes,2,Graduate,No,6540,0,205.0,360,1.0,Semiurban,0
ID002893XY,Male,No,0,Graduate,No,1836,33837,90.0,360,1.0,Urban,0
ID002894XY,Female,Yes,0,Graduate,No,3166,0,36.0,360,1.0,Semiurban,0
ID002898XY,Male,Yes,1,Graduate,No,1880,0,61.0,360,,Rural,1
ID002911XY,Male,Yes,1,Graduate,No,2787,1917,146.0,360,0.0,Rural,1
ID002912XY,Male,Yes,1,Graduate,No,4283,3000,172.0,84,1.0,Rural,1
ID002916XY,Male,Yes,0,Graduate,No,2297,1522,104.0,360,1.0,Urban,0
ID002917XY,Female,No,0,Not Graduate,No,2165,0,70.0,360,1.0,Semiurban,1
ID002925XY,,No,0,Graduate,No,4750,0,94.0,360,1.0,Semiurban,1
ID002926XY,Male,Yes,2,Graduate,Yes,2726,0,106.0,360,0.0,Semiurban,0
ID002928XY,Male,Yes,0,Graduate,No,3000,3416,56.0,180,1.0,Semiurban,1
ID002931XY,Male,Yes,2,Graduate,Yes,6000,0,205.0,240,1.0,Semiurban,0
ID002933XY,,No,3+,Graduate,Yes,9357,0,292.0,360,1.0,Semiurban,1
ID002936XY,Male,Yes,0,Graduate,No,3859,3300,142.0,180,1.0,Rural,1
ID002938XY,Male,Yes,0,Graduate,Yes,16120,0,260.0,360,1.0,Urban,1
ID002940XY,Male,No,0,Not Graduate,No,3833,0,110.0,360,1.0,Rural,1
ID002941XY,Male,Yes,2,Not Graduate,Yes,6383,1000,187.0,360,1.0,Rural,1
ID002943XY,Male,No,,Graduate,No,2987,0,88.0,360,0.0,Semiurban,1
ID002945XY,Male,Yes,0,Graduate,Yes,9963,0,180.0,360,1.0,Rural,1
ID002948XY,Male,Yes,2,Graduate,No,5780,0,192.0,360,1.0,Urban,1
ID002949XY,Female,No,3+,Graduate,,416,41667,350.0,180,,Urban,0
ID002950XY,Male,Yes,0,Not Graduate,,2894,2792,155.0,360,1.0,Rural,1
ID002953XY,Male,Yes,3+,Graduate,No,5703,0,128.0,360,1.0,Urban,1
ID002958XY,Male,No,0,Graduate,No,3676,4301,172.0,360,1.0,Rural,1
ID002959XY,Female,Yes,1,Graduate,No,12000,0,496.0,360,1.0,Semiurban,0
ID002960XY,Male,Yes,0,Not Graduate,No,2400,3800,,180,1.0,Urban,0
ID002961XY,Male,Yes,1,Graduate,No,3400,2500,173.0,360,1.0,Semiurban,1
ID002964XY,Male,Yes,2,Not Graduate,No,3987,1411,157.0,360,1.0,Rural,1
ID002974XY,Male,Yes,0,Graduate,No,3232,1950,108.0,360,1.0,Rural,1
ID002978XY,Female,No,0,Graduate,No,2900,0,71.0,360,1.0,Rural,1
ID002979XY,Male,Yes,3+,Graduate,No,4106,0,40.0,180,1.0,Rural,1
ID002983XY,Male,Yes,1,Graduate,No,8072,240,253.0,360,1.0,Urban,0
ID002984XY,Male,Yes,2,Graduate,No,7583,0,187.0,360,1.0,Urban,1
ID002990XY,Female,No,0,Graduate,Yes,4583,0,133.0,360,0.0,Semiurban,1
